
way, 19
how something is done or how it happens	Synset('manner.n.01')	Synset('property.n.02')	Synset('attribute.n.02')	Synset('abstraction.n.06')	Synset('entity.n.01')
how a result is obtained or an end is achieved	Synset('means.n.01')	Synset('implementation.n.02')	Synset('act.n.02')	Synset('event.n.01')	Synset('psychological_feature.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
a line leading to a place or point	Synset('direction.n.01')	Synset('path.n.03')	Synset('line.n.11')	Synset('location.n.01')	Synset('object.n.01')	Synset('physical_entity.n.01')	Synset('entity.n.01')
the condition of things generally	Synset('way.n.04')	Synset('condition.n.01')	Synset('state.n.02')	Synset('attribute.n.02')	Synset('abstraction.n.06')	Synset('entity.n.01')
a course of conduct	Synset('way.n.05')	Synset('course.n.04')	Synset('action.n.01')	Synset('act.n.02')	Synset('event.n.01')	Synset('psychological_feature.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
any artifact consisting of a road or path affording passage from one place to another	Synset('way.n.06')	Synset('artifact.n.01')	Synset('whole.n.02')	Synset('object.n.01')	Synset('physical_entity.n.01')	Synset('entity.n.01')
a journey or passage	Synset('way.n.07')	Synset('journey.n.01')	Synset('travel.n.01')	Synset('motion.n.06')	Synset('change.n.03')	Synset('action.n.01')	Synset('act.n.02')	Synset('event.n.01')	Synset('psychological_feature.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
space for movement	Synset('room.n.02')	Synset('position.n.07')	Synset('relation.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
the property of distance in general	Synset('way.n.09')	Synset('distance.n.01')	Synset('spacing.n.02')	Synset('placement.n.01')	Synset('position.n.07')	Synset('relation.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
doing as one pleases or chooses	Synset('way.n.10')	Synset('choice.n.01')	Synset('decision_making.n.01')	Synset('higher_cognitive_process.n.01')	Synset('process.n.02')	Synset('cognition.n.01')	Synset('psychological_feature.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
a general category of things; used in the expression `in the way of'	Synset('way.n.11')	Synset('category.n.02')	Synset('concept.n.01')	Synset('idea.n.01')	Synset('content.n.05')	Synset('cognition.n.01')	Synset('psychological_feature.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
a portion of something divided into shares	Synset('way.n.12')	Synset('share.n.01')	Synset('assets.n.01')	Synset('possession.n.02')	Synset('relation.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')

plant, 12
buildings for carrying on industrial labor	Synset('plant.n.01')	Synset('building_complex.n.01')	Synset('structure.n.01')	Synset('artifact.n.01')	Synset('whole.n.02')	Synset('object.n.01')	Synset('physical_entity.n.01')	Synset('entity.n.01')
(botany) a living organism lacking the power of locomotion	Synset('plant.n.02')	Synset('organism.n.01')	Synset('living_thing.n.01')	Synset('whole.n.02')	Synset('object.n.01')	Synset('physical_entity.n.01')	Synset('entity.n.01')
an actor situated in the audience whose acting is rehearsed but seems spontaneous to the audience	Synset('plant.n.03')	Synset('actor.n.01')	Synset('performer.n.01')	Synset('entertainer.n.01')	Synset('person.n.01')	Synset('causal_agent.n.01')	Synset('organism.n.01')	Synset('physical_entity.n.01')	Synset('living_thing.n.01')	Synset('entity.n.01')	Synset('whole.n.02')	Synset('object.n.01')	Synset('physical_entity.n.01')	Synset('entity.n.01')
something planted secretly for discovery by another	Synset('plant.n.04')	Synset('contrivance.n.03')	Synset('scheme.n.01')	Synset('plan_of_action.n.01')	Synset('plan.n.01')	Synset('idea.n.01')	Synset('content.n.05')	Synset('cognition.n.01')	Synset('psychological_feature.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')

system, 10
instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity	Synset('system.n.01')	Synset('instrumentality.n.03')	Synset('artifact.n.01')	Synset('whole.n.02')	Synset('object.n.01')	Synset('physical_entity.n.01')	Synset('entity.n.01')
a group of independent but interrelated elements comprising a unified whole	Synset('system.n.02')	Synset('group.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
(physical chemistry) a sample of matter in which substances in different phases are in equilibrium	Synset('system.n.03')	Synset('matter.n.03')	Synset('physical_entity.n.01')	Synset('entity.n.01')
a complex of methods or rules governing behavior	Synset('system.n.04')	Synset('method.n.01')	Synset('know-how.n.01')	Synset('ability.n.02')	Synset('cognition.n.01')	Synset('psychological_feature.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
an organized structure for arranging or classifying	Synset('arrangement.n.03')	Synset('structure.n.03')	Synset('cognition.n.01')	Synset('psychological_feature.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
a group of physiologically or anatomically related organs or parts	Synset('system.n.06')	Synset('body_part.n.01')	Synset('part.n.03')	Synset('thing.n.12')	Synset('physical_entity.n.01')	Synset('entity.n.01')
a procedure or process for obtaining an objective	Synset('system.n.07')	Synset('plan_of_action.n.01')	Synset('plan.n.01')	Synset('idea.n.01')	Synset('content.n.05')	Synset('cognition.n.01')	Synset('psychological_feature.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
the living body considered as made up of interdependent components forming a unified whole	Synset('system.n.08')	Synset('live_body.n.01')	Synset('body.n.01')	Synset('natural_object.n.01')	Synset('whole.n.02')	Synset('object.n.01')	Synset('physical_entity.n.01')	Synset('entity.n.01')
an ordered manner; orderliness by virtue of being methodical and well organized	Synset('organization.n.05')	Synset('orderliness.n.01')	Synset('regularity.n.02')	Synset('quality.n.01')	Synset('attribute.n.02')	Synset('abstraction.n.06')	Synset('entity.n.01')

power, 8
possession of controlling influence	Synset('power.n.01')	Synset('quality.n.01')	Synset('attribute.n.02')	Synset('abstraction.n.06')	Synset('entity.n.01')
(physics) the rate of doing work; measured in watts (= joules/second)	Synset('power.n.02')	Synset('physical_phenomenon.n.01')	Synset('natural_phenomenon.n.01')	Synset('phenomenon.n.01')	Synset('process.n.06')	Synset('physical_entity.n.01')	Synset('entity.n.01')
possession of the qualities (especially mental qualities) required to do something or get something done	Synset('ability.n.02')	Synset('cognition.n.01')	Synset('psychological_feature.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
(of a government or government official) holding an office means being in power	Synset('office.n.04')	Synset('state.n.02')	Synset('attribute.n.02')	Synset('abstraction.n.06')	Synset('entity.n.01')
one possessing or exercising power or influence or authority	Synset('power.n.05')	Synset('causal_agent.n.01')	Synset('physical_entity.n.01')	Synset('entity.n.01')
a mathematical notation indicating the number of times a quantity is multiplied by itself	Synset('exponent.n.03')	Synset('mathematical_notation.n.01')	Synset('notation.n.01')	Synset('writing.n.04')	Synset('written_communication.n.01')	Synset('communication.n.02')	Synset('abstraction.n.06')	Synset('entity.n.01')
physical strength	Synset('might.n.01')	Synset('strength.n.01')	Synset('property.n.02')	Synset('attribute.n.02')	Synset('abstraction.n.06')	Synset('entity.n.01')
a state powerful enough to influence events throughout the world	Synset('world_power.n.01')	Synset('state.n.04')	Synset('political_unit.n.01')	Synset('unit.n.03')	Synset('organization.n.01')	Synset('social_group.n.01')	Synset('group.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
a very wealthy or powerful businessman	Synset('baron.n.03')	Synset('businessman.n.01')	Synset('businessperson.n.01')	Synset('capitalist.n.02')	Synset('person.n.01')	Synset('causal_agent.n.01')	Synset('organism.n.01')	Synset('physical_entity.n.01')	Synset('living_thing.n.01')	Synset('entity.n.01')	Synset('whole.n.02')	Synset('object.n.01')	Synset('physical_entity.n.01')	Synset('entity.n.01')

part, 8
something determined in relation to something that includes it	Synset('part.n.01')	Synset('relation.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
something less than the whole of a human artifact	Synset('part.n.02')	Synset('object.n.01')	Synset('physical_entity.n.01')	Synset('entity.n.01')
a portion of a natural object	Synset('part.n.03')	Synset('thing.n.12')	Synset('physical_entity.n.01')	Synset('entity.n.01')
that which concerns a person with regard to a particular role or situation	Synset('part.n.04')	Synset('concern.n.01')	Synset('interest.n.01')	Synset('curiosity.n.01')	Synset('cognitive_state.n.01')	Synset('psychological_state.n.01')	Synset('condition.n.01')	Synset('state.n.02')	Synset('attribute.n.02')	Synset('abstraction.n.06')	Synset('entity.n.01')
the extended spatial location of something	Synset('region.n.01')	Synset('location.n.01')	Synset('object.n.01')	Synset('physical_entity.n.01')	Synset('entity.n.01')
the actions and activities assigned to or required or expected of a person or group	Synset('function.n.03')	Synset('duty.n.02')	Synset('work.n.01')	Synset('activity.n.01')	Synset('act.n.02')	Synset('event.n.01')	Synset('psychological_feature.n.01')	Synset('abstraction.n.06')	Synset('entity.n.01')
